repr,task,kind,n_train,n_valid,epochs,baseline,final,best,wall_s
R0,elite,ce,6822,1191,60,0.4686,0.9782,0.9782,624
R0,rest,ce,8249,1484,60,0.4708,0.6456,0.655,764
R0,max_elites,reg,43524,7677,20,0.8652,0.1687,0.1684,1203
R0,dist_rest,reg,43524,7677,20,1.6594,0.1704,0.1704,1245
R0,min_elites,reg,43524,7677,20,0.1749,0.1063,0.1057,1282
R1,elite,ce,6822,1191,60,0.4686,1.0,1.0,604
R1,rest,ce,8249,1484,60,0.4708,1.0,1.0,722
R1,max_elites,reg,43524,7677,20,0.8652,0.1921,0.1916,1265
R1,dist_rest,reg,43524,7677,20,1.6594,0.149,0.1481,1269
R1,min_elites,reg,43524,7677,20,0.1749,0.1109,0.1088,1284
R2,elite,ce,6822,1191,60,0.4686,0.9992,0.9992,612
R2,rest,ce,8249,1484,60,0.4708,1.0,1.0,716
R2,max_elites,reg,43524,7677,20,0.8652,0.1631,0.1629,1293
R2,dist_rest,reg,43524,7677,20,1.6594,0.1319,0.1319,1268
R2,min_elites,reg,43524,7677,20,0.1749,0.1016,0.0987,1283
R3,elite,ce,6822,1191,60,0.4686,1.0,1.0,624
R3,rest,ce,8249,1484,60,0.4708,1.0,1.0,774
R3,max_elites,reg,43524,7677,20,0.8652,0.1076,0.1075,1280
R3,dist_rest,reg,43524,7677,20,1.6594,0.0084,0.0084,1286
R3,min_elites,reg,43524,7677,20,0.1749,0.0645,0.0645,1298
R4,elite,ce,6822,1191,60,0.4686,1.0,1.0,620
R4,rest,ce,8249,1484,60,0.4708,1.0,1.0,772
R4,max_elites,reg,43524,7677,20,0.8652,0.1007,0.1006,1319
R4,dist_rest,reg,43524,7677,20,1.6594,0.0068,0.0068,1317
R4,min_elites,reg,43524,7677,20,0.1749,0.0553,0.0544,1301
R5,elite,ce,6822,1191,60,0.4686,0.817,0.8455,607
R5,rest,ce,8249,1484,60,0.4708,0.5903,0.5984,758
R5,max_elites,reg,43524,7677,20,0.8652,0.0094,0.0094,1254
R5,dist_rest,reg,43524,7677,20,1.6594,0.0672,0.0672,1282
R5,min_elites,reg,43524,7677,20,0.1749,0.0043,0.0043,1309
