repr,task,kind,n_train,n_valid,epochs,baseline,final,best,wall_s,torch_seed,data_frac
R0,route_rest,ce,18774,3270,60,0.4471,0.918,0.9183,1620,0,1.0
R0,route_avoid_elite,ce,15180,2638,60,0.4338,0.9052,0.9056,1297,0,1.0
R0,elites_within_3,reg,43524,7677,20,0.6023,0.116,0.116,1270,0,1.0
R4,route_rest,ce,18774,3270,60,0.4471,0.9682,0.9713,1703,0,1.0
R4,route_avoid_elite,ce,15180,2638,60,0.4338,0.9227,0.9272,1371,0,1.0
R4,elites_within_3,reg,43524,7677,20,0.6023,0.0052,0.0052,1315,0,1.0
R5b,route_rest,ce,18774,3270,60,0.4471,0.9988,0.9994,1716,0,1.0
R5b,route_avoid_elite,ce,15180,2638,60,0.4338,0.9992,0.9996,1389,0,1.0
R5b,elites_within_3,reg,43524,7677,20,0.6023,0.0062,0.0062,1349,0,1.0
R6,route_rest,ce,18774,3270,60,0.4471,0.9333,0.9388,1661,0,1.0
R6,route_avoid_elite,ce,15180,2638,60,0.4338,0.8832,0.8874,1348,0,1.0
R6,elites_within_3,reg,43524,7677,20,0.6023,0.0059,0.0059,1310,0,1.0
R5b,elite,ce,6822,1191,60,0.4686,1.0,1.0,666,0,1.0,
R5b,rest,ce,8249,1484,60,0.4708,1.0,1.0,812,0,1.0,
R5b,max_elites,reg,43524,7677,20,0.8652,0.0049,0.0049,1340,0,1.0,
R5b,dist_rest,reg,43524,7677,20,1.6594,0.0069,0.0069,1327,0,1.0,
R6,elite,ce,6822,1191,60,0.4686,1.0,1.0,608,0,1.0,
R6,rest,ce,8249,1484,60,0.4708,1.0,1.0,814,0,1.0,
R6,max_elites,reg,43524,7677,20,0.8652,0.1411,0.141,1287,0,1.0,
R6,dist_rest,reg,43524,7677,20,1.6594,0.0059,0.0059,1271,0,1.0,
R0,elite,ce,6822,1191,60,0.4686,0.9992,1.0,602,1,1.0,
R0,rest,ce,8249,1484,60,0.4708,0.5007,0.5553,761,1,1.0,
R4,elite,ce,6822,1191,60,0.4686,1.0,1.0,626,1,1.0,
R4,rest,ce,8249,1484,60,0.4708,1.0,1.0,760,1,1.0,
R0,elite,ce,6822,1191,60,0.4686,0.9211,0.9211,559,2,1.0,
R0,rest,ce,8249,1484,60,0.4708,0.9912,0.9939,748,2,1.0,
R4,elite,ce,6822,1191,60,0.4686,1.0,1.0,629,2,1.0,
R4,rest,ce,8249,1484,60,0.4708,1.0,1.0,739,2,1.0,
R0,elite,ce,852,1191,60,0.4686,0.4777,0.4903,110,0,0.125,
R0,rest,ce,1031,1484,60,0.4708,0.5209,0.527,155,0,0.125,
R4,elite,ce,852,1191,60,0.4686,0.995,0.9992,180,0,0.125,
R4,rest,ce,1031,1484,60,0.4708,1.0,1.0,190,0,0.125,
